new gene ID	Cluster	cons phenotype
PBANKA_0411900	10	None
PBANKA_1005500	10	None
PBANKA_0909800	10	None
PBANKA_1121200	10	None
PBANKA_0214200	10	None
PBANKA_1315100	10	None
PBANKA_1005300	10	None
PBANKA_0109200	10	None
PBANKA_1346000	10	None
PBANKA_0823800	11	None
PBANKA_0208300	11	None
PBANKA_1349800	11	None
PBANKA_1103300	11	None
PBANKA_1304800	11	None
PBANKA_0519500	11	None
PBANKA_1225400	11	None
PBANKA_0801300	11	None
PBANKA_1204000	11	None
PBANKA_1212200	11	None
PBANKA_0111600	11	None
PBANKA_0720700	11	None
PBANKA_0519000	11	None
PBANKA_1241200	12	None
PBANKA_0928400	12	None
PBANKA_0405900	12	None
PBANKA_1019100	12	None
PBANKA_1101400	12	None
PBANKA_1409200	12	None
PBANKA_1210600	12	None
PBANKA_0209000	12	None
PBANKA_0511400	12	None
PBANKA_0927000	12	None
PBANKA_1316900	12	None
PBANKA_1124600	13	None
PBANKA_1428800	13	None
PBANKA_0101100	13	None
PBANKA_1228200	13	None
PBANKA_0902500	13	None
PBANKA_1211400	13	None
PBANKA_0825200	13	None
PBANKA_0916900	13	None
PBANKA_0821600	13	None
PBANKA_1413000	13	None
PBANKA_1419100	13	None
PBANKA_0930400	13	None
PBANKA_0932100	13	None
PBANKA_1430800	13	None
PBANKA_0705900	13	None
PBANKA_1116100	13	None
PBANKA_1022600	13	None
PBANKA_1121400	13	None
PBANKA_1139500	13	None
PBANKA_1226800	14	None
PBANKA_1125100	14	None
PBANKA_0802500	14	None
PBANKA_1212400	14	None
PBANKA_0833300	14	None
PBANKA_1457000	14	None
PBANKA_0515200	14	None
PBANKA_1110900	14	None
PBANKA_0819500	14	None
PBANKA_1435900	14	None
PBANKA_0917100	14	None
PBANKA_0105800	14	None
PBANKA_0904000	14	None
PBANKA_0417800	14	None
PBANKA_1113300	14	None
PBANKA_0806300	14	None
PBANKA_1016200	14	None
PBANKA_1141400	15	None
PBANKA_1143700	15	None
PBANKA_1110600	15	None
PBANKA_1137400	15	None
PBANKA_1002100	15	None
PBANKA_0824200	15	None
PBANKA_0608000	15	None
PBANKA_1439100	15	None
PBANKA_1346300	15	None
PBANKA_1423700	15	None
PBANKA_0824000	15	None
PBANKA_1124700	15	None
PBANKA_1007900	15	None
PBANKA_0616400	15	None
PBANKA_0714300	15	None
PBANKA_0702700	15	None
PBANKA_0904200	15	None
PBANKA_0520100	15	None
PBANKA_1329100	15	None
PBANKA_1143400	15	None
PBANKA_1360400	15	None
PBANKA_1112700	15	None
PBANKA_1109900	15	None
PBANKA_0720900	15	None
PBANKA_1132300	15	None
PBANKA_1121000	15	None
PBANKA_0408200	15	None
PBANKA_0407300	16	None
PBANKA_0909500	16	None
PBANKA_1429300	16	None
PBANKA_0827400	16	None
PBANKA_0711300	16	None
PBANKA_1430600	16	None
PBANKA_1113400	16	None
