Gene_ID_PB,DOZI_regulated?
PBANKA_0521700,NO
PBANKA_0942700,NO
PBANKA_1412200,NO
PBANKA_0912300,NO
PBANKA_0701100,NO
PBANKA_1028200,NO
PBANKA_0608600,YES
PBANKA_1443500,NO
PBANKA_0621300,NO
PBANKA_0703500,NO
PBANKA_0615300,NO
PBANKA_1451800,NO
PBANKA_0618600,NO
PBANKA_0823700,NO
PBANKA_1437600,YES
PBANKA_1117500,NO
PBANKA_0610100,NO
PBANKA_1112900,NO
PBANKA_0107300,NO
PBANKA_0303600,NO
PBANKA_0823000,NO
PBANKA_0112600,NO
PBANKA_1232100,NO
PBANKA_1320200,NO
PBANKA_0702900,NO
PBANKA_0614000,NO
PBANKA_0942500,NO
PBANKA_1461300,YES
PBANKA_0623300,NO
PBANKA_1459500,YES
PBANKA_1356000,NO
PBANKA_1426900,NO
PBANKA_0804000,NO
PBANKA_1023500,NO
PBANKA_0601600,NO
PBANKA_0609500,NO
PBANKA_1321600,NO
PBANKA_1407400,NO
PBANKA_0927200,NO
PBANKA_1424200,NO
PBANKA_1362000,NO
PBANKA_1410100,NO
PBANKA_0403600,NO
PBANKA_1444100,NO
PBANKA_0806700,NO
PBANKA_0502500,NO
PBANKA_1333700,YES
PBANKA_1135100,NO
PBANKA_1308000,NO
PBANKA_1446800,NO
PBANKA_1461600,NO
PBANKA_0908300,NO
PBANKA_1326700,NO
PBANKA_1441100,NO
PBANKA_1228400,NO
PBANKA_1218200,NO
PBANKA_0617400,NO
PBANKA_0814200,NO
PBANKA_1425400,NO
PBANKA_1206600,NO
PBANKA_0417200,YES
PBANKA_1300700,NO
PBANKA_1142800,NO
PBANKA_1202700,NO
PBANKA_0105300,NO
PBANKA_1331900,NO
PBANKA_0836300,NO
PBANKA_1329200,NO
PBANKA_1231000,NO
PBANKA_0930300,NO
PBANKA_1337500,NO
PBANKA_1432200,NO
PBANKA_0316600,NO
PBANKA_0414600,NO
PBANKA_0831500,NO
PBANKA_0925400,NO
PBANKA_1357800,NO
PBANKA_0924900,NO
PBANKA_0514100,YES
PBANKA_0704900,YES
PBANKA_1303900,NO
PBANKA_1345800,NO
PBANKA_0514300,NO
PBANKA_1034300,NO
PBANKA_1324400,NO
PBANKA_1360100,NO
PBANKA_1212700,NO
PBANKA_1035400,YES
PBANKA_0506100,YES
PBANKA_0709100,YES
PBANKA_1314900,NO
PBANKA_0307100,NO
PBANKA_0721500,NO
PBANKA_1214900,NO
PBANKA_1040100,NO
PBANKA_1437700,YES
PBANKA_1317200,NO
PBANKA_1354300,NO
PBANKA_1346700,YES
PBANKA_1316300,NO
PBANKA_0401800,NO
PBANKA_1231300,YES
PBANKA_1202200,NO
PBANKA_0830400,NO
PBANKA_1427800,NO
PBANKA_0923000,NO
PBANKA_0714000,YES
PBANKA_1115000,YES
PBANKA_0403000,NO
PBANKA_1243900,NO
PBANKA_0416200,NO
PBANKA_1415700,NO
PBANKA_1018500,NO
PBANKA_1239900,NO
PBANKA_1343200,NO
PBANKA_1205000,NO
PBANKA_1425000,NO
PBANKA_0401100,NO
PBANKA_0705600,NO
PBANKA_0406500,NO
PBANKA_1421500,NO
PBANKA_1359200,NO
PBANKA_0811300,NO
PBANKA_0935500,NO
PBANKA_1118600,NO
PBANKA_0808900,NO
PBANKA_0311000,YES
PBANKA_1309900,NO
PBANKA_0937700,NO
PBANKA_0707300,NO
PBANKA_1132300,YES
PBANKA_0403800,NO
PBANKA_0916200,NO
PBANKA_1022000,NO
PBANKA_0503300,NO
PBANKA_1425100,NO
PBANKA_1406800,NO
PBANKA_1017800,NO
PBANKA_0605600,NO
PBANKA_1223800,NO
PBANKA_1211900,NO
PBANKA_0617200,NO
PBANKA_1009500,NO
PBANKA_1437100,NO
PBANKA_1228300,NO
PBANKA_1356700,NO
PBANKA_0822100,NO
PBANKA_1334900,NO
PBANKA_1120700,NO
PBANKA_0213200,NO
PBANKA_0711800,NO
PBANKA_0613700,NO
PBANKA_0405400,NO
PBANKA_1134100,NO
PBANKA_1220600,NO
PBANKA_1226700,NO
PBANKA_0410600,NO
PBANKA_1246161,NO
PBANKA_1016300,NO
PBANKA_1225000,NO
PBANKA_1103000,NO
PBANKA_0620300,YES
PBANKA_0407100,NO
PBANKA_1138400,NO
PBANKA_0825500,NO
PBANKA_1142300,NO
PBANKA_1129900,NO
PBANKA_1338900,YES
PBANKA_0109200,NO
PBANKA_0807600,NO
PBANKA_0110100,NO
PBANKA_0606200,YES
PBANKA_1417200,NO
PBANKA_1208200,NO
PBANKA_1031900,NO
PBANKA_0518700,NO
PBANKA_1434600,NO
PBANKA_1104600,NO
PBANKA_1302800,NO
PBANKA_1117000,NO
PBANKA_1418300,NO
PBANKA_0205900,NO
PBANKA_1449000,NO
PBANKA_1000600,NO
PBANKA_1230300,NO
PBANKA_1226400,NO
PBANKA_1109700,NO
PBANKA_1335400,NO
PBANKA_1320700,NO
PBANKA_1215800,NO
PBANKA_0303700,NO
PBANKA_0214400,NO
PBANKA_1351900,NO
PBANKA_0906400,NO
PBANKA_1444800,YES
PBANKA_0517600,YES
PBANKA_0819800,NO
PBANKA_1450200,NO
PBANKA_0705800,NO
PBANKA_0515900,NO
PBANKA_0301900,NO
PBANKA_1113400,NO
PBANKA_0836800,YES
PBANKA_1221200,NO
PBANKA_1202000,YES
