"GeneId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_1421221:tRNA",1.48077128996529,-0.481062962311094,1.73332947893202,-0.277536941567219,0.781367844170239,0.811432561784364
"PBANKA_1421241:tRNA",3.24365917563561,-3.69211116693566,1.49446975536792,-2.47051581584314,0.0134918352799469,0.019968535994294
"PBANKA_1421261:tRNA",6.28717629444666,-2.57516408050893,1.05888146704097,-2.43196633491489,0.0150171030183031,0.0220927985329203
"PBANKA_1421300.1",621.348375360235,3.39980697637171,0.282292193857786,12.0435741772033,2.09670417216799e-33,2.29968298032468e-32
"PBANKA_1421400.1",1460.81538698261,7.72083957507186,0.477045682525795,16.1846964722385,6.46679882674291e-59,2.07058061812793e-57
"PBANKA_1421500.1",34966.5011023816,1.3901953892036,0.502650475118005,2.7657297824641,0.00567955756743522,0.00885605543258577
"PBANKA_1421600.1",750.351463240734,0.966739221035615,0.609455822547411,1.58623346478967,0.112686359097838,0.142937544574152
"PBANKA_1421700.1",12743.5810141642,2.56971104101811,1.27290340765612,2.01877929272724,0.0435101642348982,0.059478890647282
"PBANKA_1421800.1",346.556262569535,1.42002727949797,0.308030408788527,4.61002303338454,4.02624360175076e-06,9.02011550066283e-06
"PBANKA_1421900.1",1197.92728787971,0.608797271706012,0.296435973175123,2.05372264771104,0.040002543271922,0.0549462058531196
"PBANKA_1422000.1",209.671816568707,1.81317575710102,0.465960978575623,3.89126094344561,9.97246124677739e-05,0.000194065827584513
"PBANKA_1422100.1",602.056845232992,1.34292243958551,0.223825685991942,5.99985847752014,1.97489576844188e-09,5.90521327512639e-09
"PBANKA_1422200.1",529.475842209505,1.0055595528823,0.245916052131645,4.08903584847725,4.3316991184947e-05,8.74311235545817e-05
"PBANKA_1422300.1",776.400225257191,0.819452088388505,0.20213634920357,4.05395710181368,5.03584549907055e-05,0.000100736451485094
"PBANKA_1422400.1",2716.91837749417,1.77452845458416,0.303248324903772,5.85173374048234,4.86474987463476e-09,1.40570547106178e-08
"PBANKA_1422500.1",914.958110381991,0.943870210606847,0.206636134720708,4.5677887455773,4.92896425634714e-06,1.0952073595461e-05
"PBANKA_1422600.1",335.660041931888,-0.0710398766275723,0.193296857057203,-0.36751697730165,0.713233430479889,0.748212929207128
"PBANKA_1422700.1",1449.48915344877,0.841906650446463,0.391033165351049,2.15303131561908,0.0313162174890922,0.0437493499068483
"PBANKA_1422800.1",872.101723006023,0.422889224736283,0.453785423102443,0.931914519962038,0.351380703097249,0.400390699484155
"PBANKA_1422900.1",10378.1629888255,3.75965882689711,1.10733236354813,3.39523972265235,0.000685685346855031,0.00119983298134341
