"","GeneId","X0h","X1h","X2h","X4h","X6h","X8h","X12h","X18h","X24h","X30h","X44h","MFfc","Cluster","TranscriptLength"
"4583","PBANKA_1421800.1","0.175070569","0.011077722","0.073650388","0.065012595","-0.031037067","-0.488265172","-0.966163953","-0.133573515","1.053188183","1.876667452","1.079340756","-0.505821568090641","20",213
"4584","PBANKA_1421900.1","0.064888209","0.019535365","0.085917429","0.047190005","0.218838684","0.164203541","0.128961823","-0.377646113","-0.622366699","-0.705467558","-0.472585365","0.466913672526401","52",2271
"4585","PBANKA_1422000.1","0.444820022","-0.02280539","0.140095648","0.068625023","0.122363265","-0.156537248","-0.370153318","0.083838905","0.784856203","1.491844072","1.355477532","-2.58865054899533","13",363
"4586","PBANKA_1422100.1","0.102888535","-0.117222931","0.065656231","0.117113934","0.300089078","0.037597815","-0.349227593","-0.329797076","-0.658469121","-0.347974936","-1.054108913","-0.656150127339987","18",1218
"4587","PBANKA_1422200.1","0.10197473","-0.062053058","0.068459852","0.223979338","0.260919443","0.051857919","-0.045162352","-0.399711694","-1.206381089","-1.27609392","-1.366550018","-0.585953519460348","10",1575
"4588","PBANKA_1422300.1","0.169098652","-0.053665633","-0.074768875","-0.017004195","0.521365653","0.069034137","0.137744851","-0.027890368","0.190921829","0.44814608","0.692695322","-1.32965801892044","19",2823
"4589","PBANKA_1422400.1","0.020168274","0.072732055","0.0576751","0.054957292","0.115608699","0.317348316","0.024581097","-0.326728691","-0.268116532","-0.439835464","-0.926360974","1.46317837418454","44",2634
"4590","PBANKA_1422500.1","0.303561487","-0.044719301","-0.074660623","0.035602522","0.291258062","0.123526017","0.536841623","-0.116700155","-0.326709076","-1.334990439","-0.547930417","-0.884727281382105","18",2517
"4591","PBANKA_1422600.1","0.250395802","-0.056442061","0.001493665","0.122421036","-0.071244396","-0.489153181","-0.333633993","-1.009028353","-2.71681607","-3.708357197","-2.570310184","1.07440023375611","42",1020
"4592","PBANKA_1422700.1","0.202365965","0.034617092","0.024898485","0.268772666","0.105367408","0.042436767","-1.111741239","0.664277046","1.406769991","1.184461804","0.76607786","-0.320761137787666","20",597
"4593","PBANKA_1422800.1","-0.167292748","-0.021083307","0.021146217","-0.079884137","0.012672578","0.936942281","1.13582963","4.863685077","6.309922163","7.3159151","7.742892469","-3.02533683775627","16",870
"4594","PBANKA_1422900.1","-0.189587536","0.013935902","0.116071315","0.018546008","-0.243286922","0.406723512","1.713430821","4.850539207","9.464052818","10.04011094","9.108508825","-4.24751318432741","8",1182
"4595","PBANKA_1423000.1","-0.284354893","0.00840779","-0.013578265","-0.009568074","-0.051947597","-0.144088402","0.45869338","-1.016123303","-1.649533534","0.394803616","-0.315297409","1.062430758676","52",966
"4596","PBANKA_1423100.1","-0.242681502","-0.011957485","0.11860476","0.061202369","0.193213373","0.729244702","0.760094564","0.689429465","1.539969713","3.524348116","2.447559169","0.121916906707675","39",1911
"4597","PBANKA_1423200.1","0.031128479","0.041053054","0.087749768","-0.052560772","-0.294117622","0.080820762","0.437090796","0.147078945","-0.620370581","-1.579810958","-1.089857908","0.386180412276433","35",3021
"4598","PBANKA_1423300.1","0.06131518","0.016008395","0.074553514","0.072031465","-0.522014375","-0.260748095","-0.433781019","0.01406284","-0.670364591","-1.001834417","-1.142993043","0.245760378612898","27",729
"4599","PBANKA_1423400.1","0.322141194","0.028854171","0.085304254","0.147120378","-0.199737294","-0.153831207","-0.818558421","-0.651293968","-1.405985472","-1.206173905","-1.082737949","0.0149586044496172","26",459
"4600","PBANKA_1423500.1","0.15023365","0.108197225","-0.108009782","0.060333742","-0.357833823","-0.211262987","-0.952663421","-0.453371363","-1.510159576","-2.045094259","-1.631013824","0.595958426341492","26",648
"4601","PBANKA_1423600.1","0.193393333","0.11637173","-0.080546767","0.097919276","-0.492799464","-0.147817653","-0.942720772","-0.273347977","-0.873033676","-1.575399128","-1.095933508","0.688053892269895","26",435
"4602","PBANKA_1423700.1","0.095762409","0.023045664","0.063843257","0.071232711","0.146883624","0.576355926","0.418047148","3.243942945","5.41726176","6.84093499","7.461426612","-6.21225428304359","15",1086
"4603","PBANKA_1423800.1","-0.013033967","0.012903098","0.00295104","-0.133054798","0.180033454","0.097807663","0.164849665","-1.004549677","-2.136130485","-2.8773918","-1.808418153","-0.521885103842525","41",3765
"4604","PBANKA_1423900.1","0.172590639","0.08393197","-0.039425363","0.064451329","-0.414166294","-0.443733754","-0.144591121","-0.009655572","0.14480422","-0.032824266","-0.112068009","-0.543669914283602","28",801
"4605","PBANKA_1424000.1","0.100689854","-0.057450045","0.071759684","-0.075115549","-0.139610272","-0.431558921","-0.136211689","-0.804829855","-1.202192256","-0.880277606","-1.185929802","0.622775915298938","43",1545
"4606","PBANKA_1424100.1","0.206626147","0.026733569","0.023318646","0.168009727","0.152818321","-0.168404536","-0.660369641","-0.353114448","-1.371572212","-1.856887167","-1.604745578","1.69976564559196","59",561
"4607","PBANKA_1424200.1","0.235853797","0.007993682","-0.119783548","0.045343299","-0.251992046","-0.055921444","0.090029045","-0.463191331","-1.152243594","-1.854818341","-1.6535344","-0.56468715731242","10",1986
"4608","PBANKA_1424300.1","0.068948566","0.039672921","-0.028850626","-0.046039264","-0.506282324","-0.20499151","-0.876679891","-0.945123184","-2.820553277","-2.936192978","-1.309098508","-0.975840976247817","33",855
"4609","PBANKA_1424400.1","-0.012433064","-0.110880037","0.011765612","-0.031274368","0.038359634","-0.324517722","-0.076928947","-0.279644355","-0.176879","0.174089657","-0.118991108","-1.30689617080918","2",942
"4610","PBANKA_1424500.1","-0.425013162","-0.019674738","0.087064077","0.048049255","0.096855059","0.573458022","1.703137894","3.228918499","4.237427662","6.089441706","6.390413526","-2.58700997051148","24",1806
"4611","PBANKA_1424600.1","-0.024475245","0.118059127","0.036000024","0.045929538","-0.334164065","-0.002498447","-0.124394409","-0.511392134","-0.544736754","-0.646972571","-0.871006358","0.938537580721594","52",1566
"4612","PBANKA_1424700.1","0.210663637","0.03692558","-0.031582411","0.160715688","-0.464413013","-0.496198371","-1.669240595","-0.419514222","-0.514876047","-0.553071157","-1.04587971","2.161360393307","34",216
"4613","PBANKA_1424800.1","0.051293475","0.017334556","-0.033351336","0.101623581","-0.202380866","-0.083857099","-0.447397055","-0.166364083","-0.145194656","-0.212882537","-0.651446414","0.0161821219829111","27",594
"4614","PBANKA_1424900.1","0.166661425","0.011924407","-0.019486726","0.133141016","-0.149361476","-0.105290826","-0.714966388","0.231296622","1.109128729","1.516986429","0.154099851","1.1475308146039","37",498
"4615","PBANKA_1425000.1","0.036080963","0.02714862","0.17948702","-0.088709271","-0.341703863","-0.034953854","0.119177161","-0.493910433","-2.625612645","-3.096114488","-2.631231542","0.567219585149073","41",2532
"4616","PBANKA_1425100.1","-0.18040866","0.016401753","0.226457283","0.07840679","-0.125221934","-0.062566186","-0.105509934","-0.218146154","-0.451654446","-0.466088275","-0.815988439","1.47703225502025","44",1638
"4617","PBANKA_1425200.1","-0.023373338","-0.006997293","0.124185407","-0.044313628","0.140768434","0.553223737","0.829469827","2.413665077","3.18476249","4.754970347","4.836221404","-1.18903857124097","22",1314
"4618","PBANKA_1425300.1","0.190592649","-0.060105172","0.020123701","0.086191803","0.314322753","-0.415021891","-0.173784882","-0.489209926","-1.508807706","-1.344498269","-2.171256914","1.38916707747594","43",1299
"4619","PBANKA_1425350.1","-0.017668377","-0.10623037","0.031839296","0.263662957","0.324992598","-0.094738411","-0.393806246","-0.406592748","-0.067952884","-0.35226356","-0.53134476","-1.71975012779476","2",876
"4620","PBANKA_1425400.1","0.095307482","-0.030681671","0.045623986","-0.139764671","0.054791435","0.328127272","0.681339781","-0.552554033","-1.699798173","-2.473238887","-2.256601362","0.458778915732468","17",7305
"4621","PBANKA_1425500.1","0.22945129","-0.010713691","-0.023117536","0.199635001","0.170304217","-0.04058705","0.173610616","-0.212693278","-0.455015645","-0.918488429","-1.117962839","-1.7966063955755","1",1605
"4622","PBANKA_1425600.1","-0.027557539","-0.007408908","0.060861925","-0.221855614","0.258345812","0.324847522","0.963154638","-0.334182588","-0.89640101","-1.244832399","-0.930282945","0.404650436241198","35",3423
"4623","PBANKA_1425700.1","-0.050445787","0.022554663","0.150723926","-0.060077454","0.36021172","0.111735669","0.516169738","-0.657726903","-1.285811688","-1.629402258","-1.165050531","0.335225478848855","43",1545
"4624","PBANKA_1425800.1","-0.320775967","-0.006189959","0.091087722","0.040496974","-0.131901317","-0.033511871","0.985555431","3.126458809","4.673831883","5.946639136","6.026487604","4.46780033656369","47",3396
"4625","PBANKA_1425900.1","-0.316677328","-0.017683538","-0.002147948","0.049933575","-0.071875668","-0.521166492","0.892145463","-1.028800187","-0.449240386","1.550834606","1.025880777","3.05946221135181","29",3912
"4626","PBANKA_1426000.1","0.05152317","0.029966652","-3.79e-06","-0.07144462","-0.124004047","0.124185948","-0.044320144","-0.891100785","-3.33857729","-3.943633288","-3.233394506","0.970130283279213","58",2574
"4627","PBANKA_1426100.1","-0.020115013","-0.017017444","-0.0350083","-0.057762291","-0.012247625","-0.173226559","0.023618728","-0.54630964","-0.837044736","-0.829765068","-1.287464222","1.40431083217726","43",1830
"4628","PBANKA_1426200.1","0.016241527","0.045120617","0.186296984","-0.137493782","-0.145036586","0.26385721","0.307771318","-0.248803385","-0.798862952","-1.229718467","-1.666058282","1.24077624986178","43",5406
"4629","PBANKA_1426300.1","0.011880954","0.01662101","-0.011960355","-0.042754489","0.135006523","0.098108806","0.117705234","-0.615515924","-1.179077785","-1.323150049","-1.716572037","-0.0903679036735917","10",3372
"4630","PBANKA_1426400.1","-0.023086177","-0.03076192","0.108194072","0.09674816","0.136590074","-0.126178023","0.110254326","-0.573168699","-0.969809082","-0.790181578","-1.010933711","-0.444679030787763","10",1659
"4631","PBANKA_1426500.1","-0.253761937","-0.003111514","0.079632467","0.006421001","0.074830807","0.521588511","0.381939326","1.919134987","2.378540879","4.271171219","3.182869353","0.401991999924944","39",2535
"4632","PBANKA_1426600.1","-0.383847792","-0.004504768","0.018590577","0.04543289","-0.055030572","-0.33863712","0.187153334","0.015264575","0.095326986","2.353883326","2.484120642","0.563731297056468","29",1041
"4633","PBANKA_1426700.1","0.243962767","-0.008108158","-0.105034922","0.13778501","0.317640954","-0.171303182","0.006909233","-0.158573431","-0.403165759","-0.909473004","-1.485920409","-0.134096607142083","35",2043
"4634","PBANKA_1426800.1","0.253903311","0.013765281","0.002281633","0.13799457","-0.028727339","-0.332520391","-1.097331489","0.144126032","0.487910201","-0.08697013","-0.464234311","-1.03815046113652","2",429
"4635","PBANKA_1426900.1","0.133545322","0.040387088","0.073698006","-0.016825343","0.166833625","0.39367775","0.252101688","0.285008546","0.424642776","0.355422091","-0.243923377","-0.316721879166931","45",2730
"4636","PBANKA_1427000.1","0.252159866","-0.004686277","-0.028193536","0.167982875","-0.043330494","-0.35290859","-0.52339741","-0.351949765","-0.462268008","-0.795614392","-0.738956379","-1.18817639395562","2",918
"4637","PBANKA_1427100.1","-0.010233137","0.032693577","-0.067544907","0.149591528","-0.03714056","0.123222578","-0.116691133","2.103403022","4.0878111","4.708073509","4.920409416","-3.45549062545914","23",1788
"4638","PBANKA_1427200.1","-0.163086765","-0.007616029","0.201608355","0.279973667","0.856901732","0.550393147","0.377204276","1.934633015","2.991929132","3.871476864","2.699447968","2.64419297430965","63",1545
"4639","PBANKA_1427300.1","0.054367089","0.013707924","0.108452979","-0.05972132","0.036293428","0.082468214","0.353556864","-0.40379759","-1.067097916","-1.475556008","-0.692726021","-1.69441626676914","1",2784
"4640","PBANKA_1427400.1","0.137182505","-0.023300681","0.002661817","0.139796691","-0.247754105","-0.450242086","-0.928780482","-0.629719347","-1.035551387","-0.395041846","-0.25657366","-1.51053756140972","2",336
"4641","PBANKA_1427500.1","0.260195046","0.0111778","0.042762405","0.215911679","0.043842146","-0.203645455","-0.951040166","0.51767086","-0.147484358","-0.267959121","-0.638921303","-0.988526405637812","2",267
"4642","PBANKA_1427600.1","0.009208299","-0.045414028","-0.012534724","-0.202182564","0.527127372","0.761784493","1.224497261","2.870087489","3.946196074","4.950857757","3.986330483","2.2731519094718","40",3231
"4643","PBANKA_1427700.1","-0.440001161","-0.010907526","0.493622048","0.837500898","2.37093201","2.430332271","4.413932905","6.478570796","9.518115785","8.98454168","8.125251171","5.64837663411844","64",1524
