"GeneId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_0103100.1",1145.21731686042,-0.324005928376841,0.303682142529427,-1.06692453391606,0.286005915158843,0.331838958506378
"PBANKA_0103200.1",2477.53134809532,6.37118635767282,0.317747653076952,20.051088642124,1.97476343473212e-89,2.03598110120881e-87
"PBANKA_0103300.1",36911.6500373134,-2.79800924996815,0.218237718241792,-12.8209242312007,1.25199180737895e-37,1.62161250428103e-36
"PBANKA_0103400.1",538.560372003059,1.99600212161374,0.359391601512089,5.5538362978318,2.79467219575323e-08,6.77635708800936e-08
"PBANKA_0103500.1",649.68392025989,0.36199127647713,0.226798787962432,1.59608999558274,0.11046870198879,0.138152876941342
"PBANKA_0103700.1",144.756985578947,1.42246134334108,0.304002229355985,4.67911484186974,2.8811604035572e-06,5.93620378910366e-06
"PBANKA_0103800.1",278.500333882728,1.95332956124888,0.436402026806674,4.47598645575082,7.60593066343372e-06,1.51209304165063e-05
"PBANKA_0103900.1",4864.57277891832,-0.345030881973353,0.296167987647091,-1.16498371317729,0.244025585531815,0.286941581527488
"PBANKA_0104000.1",1672.00278355189,3.06566908984267,0.311594007743174,9.83866510157505,7.67220249697389e-23,4.62575483881876e-22
"PBANKA_0104100.1",2680.4859023096,1.42726516593382,0.313598072510146,4.55125618123064,5.33265699824965e-06,1.07592355483276e-05
"PBANKA_0104200.1",719.136338767828,-0.345669957462869,0.372861644728155,-0.927072983639518,0.353888642070238,0.403337596699553
"PBANKA_0104300.1",724.155999133539,-2.33483489489182,0.25603472539152,-9.11921182301137,7.5672649838725e-20,3.91659146504646e-19
"PBANKA_0104400.1",10460.7993233568,-0.326951104246258,0.278096076183072,-1.17567679750729,0.23972405385376,0.282398879711182
"PBANKA_0104500.1",4408.43865437925,6.40537131696483,0.732464049718644,8.74496341414337,2.23087920247674e-18,1.05603143147545e-17
"PBANKA_0104600.1",13194.0475670259,-1.0382389093024,0.337692191787769,-3.07451263177239,0.00210846792497568,0.00332085308684682
"PBANKA_0104700.1",2971.61257184716,2.54815108675006,0.512589139826039,4.97113748374545,6.65612266436538e-07,1.45022452809821e-06
"PBANKA_0104800.1",29893.4032865231,-4.89816514424449,0.44698866501818,-10.9581417328452,6.07336212128545e-28,4.72219935674608e-27
"PBANKA_0104900.1",5442.85344480388,-0.584868040012228,0.211831133154653,-2.76101076976834,0.00576227761994522,0.00857026576192083
"PBANKA_0105000.1",717.424272371047,1.30905460374022,0.29837588972963,4.38726669546391,1.14784011325582e-05,2.24227231808069e-05
"PBANKA_0105100.1",2687.4428355286,6.53940705477208,0.456991745260096,14.309683101716,1.90378855650457e-46,3.78417002179483e-45
"PBANKA_0105200.1",2352.52807221328,-3.70212891094546,0.408352793290558,-9.0660060902565,1.23459552188998e-19,6.29509388263385e-19
"PBANKA_0105300.1",10098.6924713247,-1.38558942791932,0.346635711920854,-3.99724950508184,6.40827461566109e-05,0.000117061146859436
"PBANKA_0105400.1",3340.20576371752,0.0412475979791206,0.166644155719346,0.247519019200336,0.804506574146505,0.835293331263894
"PBANKA_0105500.1",339.195601704086,0.120726678998049,0.259959740106277,0.464405291945181,0.642357399358985,0.690008833860297
"PBANKA_0105600.1",3402.08620994654,-0.465149665523667,0.419368779906243,-1.10916617500153,0.267358501576325,0.312241294885807
"PBANKA_0105700.1",806.107780266439,2.01305698880602,0.319223780637336,6.3060997046865,2.86154735820572e-10,8.0476140924989e-10
"PBANKA_0105800.1",1926.5341376702,2.0426441960743,0.40730767231266,5.0149907181378,5.30360259926711e-07,1.16638529860162e-06
"PBANKA_0105900.1",952.698943656282,1.93283707287677,0.261936692221,7.37902374992965,1.59454388623308e-13,5.61850562784112e-13
"PBANKA_0106000.1",2348.94001676589,-1.3765436957709,0.309997197007207,-4.44050368538945,8.97485677257027e-06,1.77262017864367e-05
"PBANKA_0106100.1",1253.79128260476,0.885980155404997,0.266239406275616,3.32775740375493,0.00087548068565466,0.00143455274461213
"PBANKA_0106200.1",9644.0866498923,0.0242261917043025,0.322748955852757,0.0750620296827695,0.940165358485017,0.952711528871191
"PBANKA_0106300.1",75443.0213569556,1.38367545005873,0.364118833834059,3.80006558707511,0.000144657796732229,0.000255205661243888
"PBANKA_0106400.1",715.984218174269,-0.632484034507556,0.233321196592121,-2.71078686268367,0.00671237579760462,0.00988072451075151
"PBANKA_0106500.1",1419.42237336961,-0.652510436402502,0.188059659718429,-3.46969912303079,0.000521041685728976,0.000872918391268402
"PBANKA_0106600.1",287.899911117739,0.536357975403976,0.247621714209895,2.16603772861913,0.0303083040040679,0.0409217671925013
"PBANKA_0106700.1",2092.85462357587,0.626208328654509,0.275522473092868,2.27280309161365,0.023038048661338,0.031560228766728
"PBANKA_0106800.1",415.899030088253,0.22243969927607,0.246921991142807,0.900850095394792,0.367668028073499,0.417657268558591
"PBANKA_0106900.1",6262.46331219064,1.69778531563341,0.175104089866501,9.69586328296383,3.13971123162396e-22,1.84132097827321e-21
"PBANKA_0106950.1",310.789477884127,-1.07691366023616,0.224323004629355,-4.80072769181891,1.58090115157476e-06,3.34271757029036e-06
"PBANKA_0107000.1",600.850435758422,1.29192365488336,0.240157113939475,5.37949358938811,7.46956544211399e-08,1.75344307168022e-07
"PBANKA_0107100.1",747.561153520676,0.995990722310875,0.263881898503242,3.7743806148137,0.000160405701722206,0.000281638757621925
"PBANKA_0107200.1",2161.61009270021,3.53397397716405,0.351091528920377,10.0656771413175,7.83463202674109e-24,4.94945197277578e-23
"PBANKA_0107300.1",2828.81132543872,0.563537542536625,0.199644017595405,2.82271189151622,0.00476193431536047,0.00716514051245862
"PBANKA_0107400.1",2773.74199098701,0.472110311082985,0.534852672172522,0.882692254607827,0.377402568087652,0.427490713797373
"PBANKA_0107500.1",1593.19681076396,-0.975997483095425,0.319738680471596,-3.05248486562803,0.00226955175369314,0.00355933656534473
"PBANKA_0107600.1",43170.1956898669,-2.77961608270796,0.440819984986063,-6.30555822643986,2.87157021529473e-10,8.07139828781043e-10
"PBANKA_0107700.1",2394.90141469004,-0.613945038132068,0.574970961086179,-1.06778442683829,0.285617764433832,0.331463209287799
"PBANKA_0107800.1",1589.49951583809,1.61914537381673,0.346309060512783,4.67543462888106,2.9333170769997e-06,6.0412503123985e-06
"PBANKA_0107900.1",7452.39799043827,-1.41959924873298,0.240412821761626,-5.90484000949225,3.52989144942535e-09,9.1855580120079e-09
"PBANKA_0108000.1",1485.3853139215,-1.94733618856611,0.480796519438271,-4.05022937944983,5.11674524193012e-05,9.41693028280964e-05
