gene,normd7toinputA
PBANKA_030110,2.2417407310082834e-4
PBANKA_030450,0.012318958589641917
PBANKA_030950,0.0016135984964921752
PBANKA_031660,0.2060789349678172
PBANKA_040180,0.004442742343093735
PBANKA_040640,0.00451600962456969
PBANKA_040690,0.007264662455121157
PBANKA_041780,1.039500399134916
PBANKA_050180,0.0019090891927940404
PBANKA_050410,0.0033437050383223477
PBANKA_050690,0.7770449394976792
PBANKA_050720,0.5420458352776176
PBANKA_051140,0.2026181866685552
PBANKA_051390,0.03812251546943157
PBANKA_051535,0.5606451145608685
PBANKA_061970,0.008338679821228113
PBANKA_070200,0.5991941649684884
PBANKA_071270,0.9623615349113459
PBANKA_071310,0.0022906698315322406
PBANKA_071660,0.3925897019151189
PBANKA_072070,0.3473808521524223
PBANKA_080130,0.08231615691876781
PBANKA_080250,0.28308305265056827
PBANKA_080450,0.00627979375253129
PBANKA_081510,8.974626636502555e-4
PBANKA_082160,0.1317175508560318
PBANKA_083100,0.004732766281222146
PBANKA_083290,0.1104041492349558
PBANKA_083300,0.03091225114698837
PBANKA_090260,0.2003817754691261
PBANKA_090610,0.23946285620773505
PBANKA_090840,0.0968797311977041
PBANKA_090860,1.1109409212737305
PBANKA_091150,0.48891896123520084
PBANKA_091240,0.36597363398816457
PBANKA_091510,0.5900598440691964
PBANKA_091940,0.0012257901722126927
PBANKA_092090,0.004321725377034704
PBANKA_092170,0.021831881814652912
PBANKA_092250,0.003446321543016606
PBANKA_092510,0.03127847852787938
PBANKA_092560,0.002825187167014514
PBANKA_092940,0.008419458938046537
PBANKA_092970,1.5712776578068728
PBANKA_093190,0.5170385047539182
PBANKA_093200,6.677156044251151e-4
PBANKA_093690,0.1760648583606825
PBANKA_100010,0.9986011399568147
PBANKA_100170,0.005032897475944766
PBANKA_100250,0.5546016551092181
PBANKA_100360,0.29457128207960803
PBANKA_100530,0.3017263660365601
PBANKA_100550,0.5853327961495005
PBANKA_100920,0.0025358274671721977
PBANKA_101040,0.007639181011598719
PBANKA_101910,0.2776480678942862
PBANKA_102760,0.7420665326314133
PBANKA_103170,0.06957437439159429
PBANKA_103210,0.5304074171577217
PBANKA_103970,0.002356178879563539
PBANKA_110140,0.20201614943408733
PBANKA_110330,0.5794749579116526
PBANKA_110760,0.596323308372857
PBANKA_112010,0.1476006599656929
PBANKA_112390,1.8873372236208867
PBANKA_112410,0.01005976086786269
PBANKA_113880,0.011839326936848936
PBANKA_120180,0.06480421987848103
PBANKA_121060,0.6499457126767618
PBANKA_121180,0.29734324276853363
PBANKA_121440,0.6137196546051839
PBANKA_122670,0.007110845873407354
PBANKA_122760,0.0011447436808905078
PBANKA_130340,0.17005242737475498
PBANKA_130430,0.004387158841287196
PBANKA_131280,0.09965639854296264
PBANKA_131420,0.28392574367375034
PBANKA_131540,0.0018887609413796608
PBANKA_133270,6.415885380327021e-4
PBANKA_133460,0.008842903470677975
PBANKA_134490,4.267160443969143e-4
PBANKA_134640,0.2716829325210255
PBANKA_134700,0.0019097043735797539
PBANKA_135570,0.003771571028546264
PBANKA_135610,0.0016169842277611569
PBANKA_135740,0.0030459980105015244
PBANKA_140920,2.347130538606123
PBANKA_141200,0.0014896132956374857
PBANKA_141380,0.001449238091360953
PBANKA_141980,0.0015040330287142893
PBANKA_143360,0.00315455569816777
PBANKA_143910,0.28375404498109263
PBANKA_144290,6.614938552187497e-4
PBANKA_144720,0.1350301356873771
PBANKA_145700,1.011554724254805
PBANKA_145870,0.15746015328902124
PBANKA_145950,0.001130480182732529
PBANKA_010740,0.11767482692943423
PBANKA_020230,0.011307035603538825
PBANKA_020380,0.004309625608764522
PBANKA_020640,5.414215905758229e-4
PBANKA_021420,0.6373703977753751
PBANKA_030230,0.023123576488423996
PBANKA_030260,1.080965734059785
PBANKA_030370,0.22808782669468325
PBANKA_030500,0.12364254688416733
PBANKA_040230,0.01364757817960871
PBANKA_040410,0.4907605377678057
PBANKA_040480,0.4744063030456781
PBANKA_040960,0.005008623078417898
PBANKA_050400,5.450561052459583e-4
PBANKA_051100,1.2460630304970894
PBANKA_051150,8.794643909548424e-4
PBANKA_051210,0.0041653814901808075
PBANKA_051360,0.18398582162802088
PBANKA_051690,3.6350369452265124e-4
PBANKA_051820,0.13297586475618162
PBANKA_051880,0.3172551903877303
PBANKA_061140,0.07105029088971773
PBANKA_070650,8.956938308976175e-4
PBANKA_071390,0.9201768329801294
PBANKA_071490,0.37432548250889747
PBANKA_071560,0.011339732911805586
PBANKA_080820,0.0010774265143428355
PBANKA_082340,2.3900795298259953e-4
PBANKA_082650,NaN
PBANKA_083260,0.004342791607760396
PBANKA_083310,0.30680160065971973
PBANKA_090660,0.047752771347866804
PBANKA_091260,0.3627032200941477
PBANKA_091980,NaN
PBANKA_091990,0.22960495342690884
PBANKA_093130,0.0023221139478702916
PBANKA_093290,1.3071939500959757
PBANKA_093390,0.6720736882834838
PBANKA_101140,NaN
PBANKA_101530,0.06803645717560283
PBANKA_101610,1.0121161438569062
PBANKA_101680,0.015112708249609237
PBANKA_102230,0.0060503823474872195
PBANKA_102590,0.0033837056563537247
PBANKA_103000,0.0018870780910253027
PBANKA_103340,0.003810936195968576
PBANKA_103560,0.0026134108764071123
PBANKA_111180,0.22800805151101258
PBANKA_111300,4.6137608827755226e-4
PBANKA_111330,0.15081916496339068
PBANKA_112020,0.3561121101187074
PBANKA_112190,0.03974802164897255
PBANKA_112240,0.19693898131983079
PBANKA_112280,0.07549681538797187
PBANKA_112360,0.001010891496815293
PBANKA_112420,3.694219750032317e-4
PBANKA_112490,0.007041347368880849
PBANKA_112510,0.43517791220614876
PBANKA_112560,NaN
PBANKA_112620,0.6695291228497714
PBANKA_113430,2.738115415065191e-4
PBANKA_121100,0.03869538773513786
PBANKA_121620,4.3469120149705414e-4
PBANKA_121730,0.002196107192794651
PBANKA_121800,0.6241874200420816
PBANKA_122010,9.828639511317039e-5
PBANKA_122100,0.6327338829824896
PBANKA_122580,0.022373389770729273
PBANKA_123230,0.4644908113269567
PBANKA_124200,0.033520939139656356
PBANKA_130380,0.03931136458180927
PBANKA_130890,NaN
PBANKA_131720,0.09337064127820888
PBANKA_132810,NaN
PBANKA_132910,0.7903935315685524
PBANKA_132950,0.026573729334102122
PBANKA_133410,NaN
PBANKA_133560,0.10383132511420727
PBANKA_134040,0.19034993815621823
PBANKA_134280,0.018927524774824744
PBANKA_134620,0.002694657701972602
PBANKA_135520,0.0010583227528514298
PBANKA_136190,2.0765076572693406
PBANKA_140340,7.816744054651848e-4
PBANKA_140510,NaN
PBANKA_140610,1.6682822328419706e-4
PBANKA_141050,0.46796168171630803
PBANKA_142370,0.8511565301182646
PBANKA_142670,0.001601038340389443
PBANKA_143420,NaN
PBANKA_143480,NaN
PBANKA_144260,4.6146130011201524e-4
PBANKA_144530,0.0013613095347560897
PBANKA_144890,0.00223370674799982
PBANKA_145440,0.008402001214262387
PBANKA_010090,0.004294633647503987
PBANKA_010120,2.1960370513239577e-4
PBANKA_020590,0.0016490507292456333
PBANKA_020650,0.005310708557760352
PBANKA_030170,0.00417929350451785
PBANKA_030360,0.0012014617569408026
PBANKA_030420,0.003350615328642247
PBANKA_030570,0.00197940900468782
PBANKA_030840,0.00184233159265335
