"","interpro","Domain"
"274","IPR000144","PTHR24060:SF123"
"275","IPR000144","PR01058"
"276","IPR000145","PF00901"
"277","IPR000146","PTHR11556"
"278","IPR000146","PIRSF000904"
"279","IPR000146","MF_01855"
"280","IPR000146","cd00354"
"281","IPR000147","PR00636"
"282","IPR000148","PF00527"
"283","IPR000148","PIRSF003407"
"284","IPR000148","MF_04004"
"285","IPR000149","PR00330"
"286","IPR000150","TIGR00099"
"287","IPR000151","PF01110"
"288","IPR000152","PS00010"
"289","IPR000153","PF00979"
"290","IPR000154","PR00585"
"291","IPR000155","PR01062"
"292","IPR000156","PF00638"
"293","IPR000156","PS50196"
"294","IPR000156","SM00160"
"295","IPR000157","PF01582"
"296","IPR000157","PF13676"
"297","IPR000157","PS50104"
"298","IPR000157","SM00255"
"299","IPR000157","G3DSA:3.40.50.10140"
"300","IPR000157","SSF52200"
"301","IPR000158","TIGR00065"
"302","IPR000158","MF_00909"
"303","IPR000158","cd02201"
"304","IPR000159","PF00788"
"305","IPR000159","PS50200"
"306","IPR000159","SM00314"
"307","IPR000160","PF00990"
"308","IPR000160","PS50887"
"309","IPR000160","SM00267"
"310","IPR000160","TIGR00254"
"311","IPR000160","cd01949"
"312","IPR000161","PR00898"
"313","IPR000162","PR00593"
"314","IPR000163","PTHR23222"
"315","IPR000163","PR00679"
"316","IPR000163","cd03401"
"317","IPR000164","PTHR11426"
"318","IPR000164","PR00622"
"319","IPR000164","PS00322"
"320","IPR000164","PS00959"
"321","IPR000164","SM00428"
"322","IPR000165","PR00736"
"323","IPR000165","PS00820"
"324","IPR000167","PF00257"
"325","IPR000169","PS00139"
"326","IPR000170","PF01355"
"327","IPR000170","PS51373"
"328","IPR000170","G3DSA:4.10.490.10"
"329","IPR000170","SSF57652"
"330","IPR000172","PF00732"
"331","IPR000172","PS00623"
"332","IPR000172","PS00624"
"333","IPR000174","PR00427"
"334","IPR000175","PTHR11616"
"335","IPR000175","PF00209"
"336","IPR000175","PR00176"
"337","IPR000175","PS00610"
"338","IPR000175","PS00754"
"339","IPR000175","PS50267"
"340","IPR000176","PF01358"
"341","IPR000177","PR00005"
"342","IPR000177","PS00495"
"343","IPR000177","SM00223"
"344","IPR000178","PS01176"
"345","IPR000178","TIGR00487"
"346","IPR000178","MF_00100_B"
"347","IPR000180","PS00869"
"348","IPR000182","PF00583"
"349","IPR000182","PF12568"
"350","IPR000182","PF13302"
"351","IPR000182","PF13508"
"352","IPR000182","PF13673"
"353","IPR000182","PF13718"
"354","IPR000182","PS51186"
"355","IPR000183","PR01179"
"356","IPR000184","PF01103"
"357","IPR000185","PR00906"
