GeneID	asexual1	asexual2	asexual3	female1	female2	female3	male1	male2	male3
PBANKA_1320100	6.71891734529824	38.0638170408997	6.88219233421741	75.2410123097056	67.6826419709263	65.6200912083513	587.188101573841	458.657509587375	499.240472431887
PBANKA_1320200	27.3432635468629	49.3372244655287	36.3774244173057	56.287567462299	57.5322803491048	49.9909872010404	159.718729600923	143.739939694974	140.672573519429
PBANKA_1320300	176.615903284177	131.208972567732	137.3692911391	13.0329834439215	14.6696252558486	20.3823442664508	17.1683929270633	40.3077335547536	34.6119074816257
PBANKA_1320400	130.703536471471	173.27317166018	135.668203264039	40.1187758226486	41.5849738055825	37.5705468538178	154.262854266858	156.445727874373	147.923928540132
PBANKA_1320500	774.033710448054	540.656364080279	701.376089650994	90.5711782414903	98.8296741256743	125.286237596218	80.2155230151703	171.960125385405	207.182962151461
PBANKA_1320600	127.617977339701	120.194878543435	152.667473066109	34.7516530517687	42.425790048841	44.3735105263986	44.4112289107248	84.7003044891246	71.3938405106887
PBANKA_1320700	427.002411631858	473.230209124853	423.648651770203	386.136027513632	362.76875841977	406.107608428449	369.383526592926	377.279552075142	397.765682845266
PBANKA_1320800	8.58402701180417	28.8475309961688	9.99330292262262	2791.69066044981	2695.58060801387	2695.1027602206	129.045287070586	154.074868563388	125.925632141637
PBANKA_1320900	4890.2108168521	4038.8454618222	3682.31130888486	472.670332317207	554.794107343638	555.75304078243	2672.67848777196	3056.28276480869	2441.96074889621
PBANKA_1321000	162.947201943623	114.7958428122	149.140282101635	68.9445751138171	53.0034274360691	56.2668778811157	28.0324608463318	45.273648114598	53.6487498432154
PBANKA_1321100	12.8459403894203	12.7474451007925	15.1660699943528	2.18918674874462	2.91903141844187	2.35208714538853	12.3163154152021	11.6866896571041	15.6222171510225
PBANKA_1321200	97.9333754574279	124.321616020293	98.8607871392841	66.167349472006	53.9328748219664	62.7427602490492	132.361672091028	112.553799824605	127.500832837783
PBANKA_1321300	52.739363011103	67.1923341208171	61.1649401982914	17.2011776671072	17.0508824994315	18.7511132414957	94.425589695236	81.2738158053718	83.396119933559
PBANKA_1321400	39.124072266295	33.4722475047917	55.3409156057027	6.90846114884559	8.58561256758762	8.67894695429601	6.87945252626709	16.5592285494863	12.5328170388013
