	identity_updated	genetic_background	Genotypes	n_genes_by_counts	log1p_n_genes_by_counts	total_counts	log1p_total_counts	umap1	umap2
SC22530_1_214	GCSKO-17	PBANKA	fd3   PBANKA_1418100	2008	7.605392364814935	10413.65	9.250969	8.822482	18.994305
SC22530_1_215	GCSKO-17	PBANKA	fd3   PBANKA_1418100	564	6.336825731146441	3497.2427	8.160016	8.229177	-0.25582412
SC22530_1_216	GCSKO-17	PBANKA	fd3   PBANKA_1418100	572	6.35088571671474	3517.3848	8.165757	11.114288	-4.4516115
SC22530_1_218	GCSKO-2	PBANKA	md3 PBANKA_0102400	771	6.648984550024776	4720.6235	8.459908	-2.6548944	7.7990155
SC22530_1_219	GCSKO-2	PBANKA	md3 PBANKA_0102400	1787	7.488852955733459	9523.843	9.161658	0.100820296	1.1280112
SC22530_1_21	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1491	7.307872780763706	7826.477	8.965396	4.8785133	1.9857525
SC22530_1_221	GCSKO-2	PBANKA	md3 PBANKA_0102400	1468	7.292337176173877	7729.448	8.952922	2.243286	1.7645017
SC22530_1_222	GCSKO-2	PBANKA	md3 PBANKA_0102400	506	6.2285110035911835	2962.6096	7.994163	3.0086267	4.637515
SC22530_1_223	GCSKO-2	PBANKA	md3 PBANKA_0102400	1024	6.932447891572509	6462.8926	8.773987	-0.24830402	3.1983192
SC22530_1_225	GCSKO-17	PBANKA	fd3   PBANKA_1418100	805	6.692083742506628	4951.0166	8.50755	2.1335099	-9.043515
SC22530_1_226	GCSKO-17	PBANKA	fd3   PBANKA_1418100	2298	7.740229524763182	11659.567	9.363968	-1.0383978	1.8003663
SC22530_1_227	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1413	7.254177846456518	7856.1885	8.969184	-2.4593356	14.110423
SC22530_1_228	GCSKO-17	PBANKA	fd3   PBANKA_1418100	2292	7.737616282857904	11238.238	9.327167	-0.36534575	0.7634652
SC22530_1_229	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1640	7.403061091090091	7633.4023	8.94042	3.5614767	1.4428092
SC22530_1_22	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1035	6.943122422819428	5584.0444	8.627848	9.274035	2.2894664
SC22530_1_230	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1596	7.3758821482150125	8300.242	9.02416	-2.2118483	13.873635
SC22530_1_231	GCSKO-17	PBANKA	fd3   PBANKA_1418100	872	6.771935555839602	4709.792	8.457611	9.475065	1.5649793
SC22530_1_232	GCSKO-17	PBANKA	fd3   PBANKA_1418100	754	6.626717749249025	4456.099	8.402253	11.093989	-1.8038174
SC22530_1_233	GCSKO-2	PBANKA	md3 PBANKA_0102400	1514	7.323170717943469	7726.051	8.952482	3.6326096	1.3968961
SC22530_1_234	GCSKO-2	PBANKA	md3 PBANKA_0102400	1940	7.57095858316901	10015.738	9.212013	-0.1655346	1.425471
SC22530_1_235	GCSKO-2	PBANKA	md3 PBANKA_0102400	1605	7.381501894506707	7622.371	8.938974	7.9464655	10.931528
SC22530_1_236	GCSKO-2	PBANKA	md3 PBANKA_0102400	2135	7.666690200080086	9956.945	9.206126	9.316669	11.928173
SC22530_1_237	GCSKO-2	PBANKA	md3 PBANKA_0102400	1990	7.596392304064196	8762.222	9.078319	7.9861445	11.112356
SC22530_1_238	GCSKO-2	PBANKA	md3 PBANKA_0102400	139	4.941642422609304	838.21204	6.7324634	2.9020157	5.8519616
SC22530_1_23	GCSKO-17	PBANKA	fd3   PBANKA_1418100	883	6.784457062637643	4847.2217	8.486367	11.008137	-1.3774889
SC22530_1_241	GCSKO-17	PBANKA	fd3   PBANKA_1418100	815	6.704414354964107	4682.4844	8.4517975	8.962392	2.3697493
