	identity_updated	genetic_background	Genotypes	n_genes_by_counts	log1p_n_genes_by_counts	total_counts	log1p_total_counts	umap1	umap2
SC25027_7_206	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1177	7.071573364211532	7291.2246	8.894564	1.3603098	2.1670518
SC25027_7_207	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1897	7.5485559791698735	9235.49	9.130918	8.96285	9.876323
SC25027_7_209	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2193	7.693481640835175	10191.473	9.229404	9.213312	10.058791
SC25027_7_20	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1014	6.922643891475888	5446.1865	8.602855	7.748178	8.236969
SC25027_7_210	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	682	6.52649485957079	3889.4685	8.266285	5.521834	-7.2396064
SC25027_7_211	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1560	7.353081920515432	8159.3574	9.007043	-0.19093965	3.6331835
SC25027_7_212	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	900	6.803505257608338	4793.5415	8.475233	8.036497	2.0449023
SC25027_7_213	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1162	7.0587581525186645	6119.005	8.719318	1.3508269	-9.163612
SC25027_7_214	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1205	7.095064377287131	6753.8896	8.818022	-1.2643075	12.720077
SC25027_7_215	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1766	7.4770384723196965	9214.685	9.128662	0.3616876	1.7461478
SC25027_7_216	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	707	6.56244409369372	4207.5557	8.344874	3.1265326	4.098859
SC25027_7_217	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1322	7.187657164114956	6563.9175	8.789495	9.621221	1.8977463
SC25027_7_218	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	846	6.741700694652055	4467.343	8.404773	11.384519	-2.9821794
SC25027_7_219	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	966	6.874198495453294	4851.1465	8.487177	11.451005	-4.0217576
SC25027_7_21	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	497	6.210600077024653	2756.128	7.9219446	9.073065	-5.9683247
SC25027_7_220	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1139	7.038783541388542	5376.636	8.590004	6.7198305	7.9924216
SC25027_7_221	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	908	6.812345094177479	4727.948	8.461458	10.009736	0.19826432
SC25027_7_222	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	787	6.669498089857879	4431.1187	8.396633	5.487043	-7.565925
SC25027_7_223	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1134	7.034387929915503	6393.1704	8.763142	0.109717235	3.9227417
SC25027_7_224	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1058	6.9650803456014065	5391.922	8.592843	11.284476	-2.326387
SC25027_7_225	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2074	7.637716432664798	9770.924	9.187268	9.197454	10.196346
SC25027_7_226	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2285	7.734558844354756	10592.0625	9.267955	9.50292	10.473842
SC25027_7_227	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1466	7.2909747781429814	8129.021	9.003319	-2.0859241	14.547477
SC25027_7_228	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1410	7.252053951852814	7916.7886	8.976868	-1.9881238	14.506832
SC25027_7_229	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1753	7.469654172932128	9011.211	9.106336	8.924209	9.9204645
SC25027_7_22	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	698	6.54965074223381	3855.4595	8.257504	-0.90845305	9.198329
SC25027_7_230	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	655	6.486160788944089	3982.6543	8.289955	5.44452	7.441609
SC25027_7_231	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1391	7.238496840894365	7276.225	8.892505	3.5238113	1.683141
SC25027_7_233	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	897	6.8001700683022	5021.76	8.521735	0.6851713	4.1644554
SC25027_7_234	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	934	6.840546529288687	4846.465	8.486211	8.268441	2.1221004
SC25027_7_235	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1477	7.298445101508147	7131.9917	8.872486	8.015334	9.591486
SC25027_7_236	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2223	7.707062655370473	7840.0166	8.967124	7.7447243	9.403295
SC25027_7_237	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2166	7.681099001536359	9262.805	9.13387	9.004649	10.024162
SC25027_7_238	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	773	6.651571873589727	4401.6406	8.389959	-0.6391919	9.682473
SC25027_7_239	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1425	7.262628600974241	7588.124	8.934471	2.5946653	1.861742
SC25027_7_23	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	431	6.068425588244111	2677.3435	7.892954	0.39402398	7.9762797
SC25027_7_240	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1877	7.537962659768208	10108.09	9.22119	10.198627	10.921956
SC25027_7_241	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	106	4.672828834461906	529.18054	6.2732177	2.8364189	6.301838
SC25027_7_242	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2392	7.780303087908373	10987.941	9.304645	9.511908	10.65644
SC25027_7_243	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1475	7.297091005160418	7377.1724	8.906281	8.040967	9.609227
SC25027_7_244	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	740	6.608000625296087	3955.8235	8.283196	0.48305824	4.092684
SC25027_7_245	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	924	6.829793737512425	4753.106	8.4667635	11.393844	-4.000252
SC25027_7_246	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1145	7.044032897274685	6256.786	8.741582	1.2972151	-9.212184
SC25027_7_247	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1622	7.392031567514591	8876.023	9.091222	1.1903374	1.6342481
SC25027_7_248	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2344	7.76004068088038	10853.978	9.292379	9.619801	10.578959
SC25027_7_249	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	767	6.643789733147672	4302.4062	8.367162	1.5652698	-8.004812
SC25027_7_24	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	160	5.081404364984463	1236.8978	7.12117	2.0107052	6.592826
SC25027_7_250	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	841	6.7357800142423265	4589.585	8.431763	10.222238	-0.37098944
SC25027_7_251	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	458	6.129050210060545	2787.1787	7.933144	1.3039701	6.427128
SC25027_7_252	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1859	7.528331766707247	10113.104	9.221686	0.6289156	1.2082078
SC25027_7_253	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1318	7.1846291527173145	7799.6504	8.961963	1.9714968	1.499287
SC25027_7_254	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1301	7.171656822768514	7463.1055	8.917861	8.250002	9.542368
SC25027_7_255	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	809	6.697034247666484	4742.9214	8.46462	7.7631555	2.098826
SC25027_7_257	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2122	7.660585461703256	10330.795	9.242981	-0.41362593	1.8018233
SC25027_7_258	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2225	7.70796153183549	10049.718	9.2154	9.2884655	10.152731
SC25027_7_259	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2260	7.72356247227797	9597.341	9.169346	9.182091	10.154073
SC25027_7_25	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	591	6.3835066348840055	3823.0347	8.249062	0.6796125	4.295144
SC25027_7_260	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2130	7.664346632098617	8978.629	9.102714	8.047637	12.079489
SC25027_7_261	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1104	7.007600613951853	5187.246	8.554151	8.026055	2.0561166
SC25027_7_262	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1574	7.362010551259734	6697.765	8.809678	-1.3016925	5.3620358
SC25027_7_263	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1507	7.318539548567902	7875.244	8.971606	-1.6200682	12.89602
SC25027_7_264	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	521	6.257667587882639	3014.2974	8.011454	1.2883412	6.311805
SC25027_7_265	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1076	6.981934677156389	5796.9785	8.665264	7.2010536	2.4024515
SC25027_7_266	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2194	7.693937325509272	10218.9375	9.232096	9.288102	10.349647
SC25027_7_267	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1793	7.492203042618741	9167.7	9.12355	2.0761018	1.0879003
SC25027_7_268	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2151	7.674152921281675	10348.954	9.244738	9.753105	10.68035
SC25027_7_269	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	891	6.79346613258001	4768.5977	8.470017	7.575357	2.060176
SC25027_7_26	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1372	7.224753405767971	7240.2935	8.887555	9.096777	8.832992
SC25027_7_270	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1758	7.472500744737558	9251.299	9.1326275	-0.489746	3.100793
SC25027_7_271	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1372	7.224753405767971	7948.8267	8.980906	-3.3635027	11.397005
SC25027_7_272	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2219	7.705262474866325	10065.646	9.216983	9.307128	10.252884
SC25027_7_273	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	600	6.398594934535208	3970.1199	8.286803	8.45967	0.8845902
SC25027_7_274	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1503	7.315883504509785	8394.583	9.035461	0.472083	2.0825455
SC25027_7_275	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	278	5.631211781821365	2073.1523	7.6373076	3.3661087	-4.1734815
SC25027_7_276	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	722	6.583409222158765	4261.4927	8.35761	9.928846	-0.27174652
SC25027_7_277	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1001	6.90975328164481	6233.856	8.737911	1.0889953	2.8821309
SC25027_7_278	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	470	6.154858094016418	3122.6692	8.046763	9.639258	-5.5027804
SC25027_7_279	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1013	6.921658184151129	6249.161	8.740362	2.780065	2.992564
SC25027_7_27	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1017	6.925595197110468	5343.283	8.583783	3.2186103	3.0474668
SC25027_7_280	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	789	6.672032945461067	5080.166	8.533296	7.3451967	9.130699
SC25027_7_282	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	814	6.703188113240863	4685.4204	8.452424	7.700831	1.9827076
SC25027_7_284	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	850	6.7464121285733745	4591.5845	8.432199	1.9654703	-8.180612
SC25027_7_285	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	983	6.891625897052253	4622.065	8.438813	11.087123	-2.2199862
SC25027_7_286	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1468	7.292337176173877	7673.9453	8.945717	-1.9139836	14.47752
SC25027_7_287	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	495	6.206575926724928	3115.1313	8.044348	1.3060721	6.298956
SC25027_7_288	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1382	7.232010331664759	7514.328	8.9247	3.274681	1.6927503
SC25027_7_28	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	436	6.07993319509559	2256.5896	7.722053	8.591601	-0.5855449
SC25027_7_295	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1475	7.297091005160418	8142.469	9.0049715	-2.1501653	14.342099
SC25027_7_297	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	823	6.714170529909472	4250.589	8.355048	11.050569	-1.8619314
SC25027_7_298	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1022	6.930494765951626	5051.0674	8.527553	8.626786	2.1272292
SC25027_7_299	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1537	7.338238150065589	7687.035	8.94742	-3.4331095	11.354109
SC25027_7_29	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	550	6.311734809152915	2985.589	8.001887	8.5759	-0.052055113
SC25027_7_2	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	480	6.175867270105761	2675.7546	7.89236	8.4309025	-0.14290278
SC25027_7_300	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1286	7.160069207596127	7093.644	8.867095	-1.9143274	14.335712
SC25027_7_301	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	723	6.584791392385716	4330.7715	8.373732	7.9918284	-7.399271
SC25027_7_302	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1099	7.003065458786462	5641.6006	8.638101	6.856629	2.3463652
SC25027_7_303	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1237	7.121252453244542	6510.749	8.7813635	7.7371078	9.4437275
SC25027_7_305	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	933	6.839476438228843	4574.952	8.42857	11.071222	-5.582821
SC25027_7_306	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	675	6.516193076042964	4542.6953	8.421495	2.3078837	3.338303
SC25027_7_307	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	991	6.899723107284872	4995.297	8.516452	9.504431	-6.6574726
SC25027_7_308	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1663	7.416979621381154	7585.2188	8.934089	8.258563	9.653336
SC25027_7_309	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	881	6.782192056006791	4112.6895	8.322076	8.829437	1.0122938
SC25027_7_30	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	927	6.833031732786201	4895.2993	8.496235	3.8127818	2.7064648
SC25027_7_310	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1128	7.029087564149662	6140.048	8.722751	-3.0336409	7.858205
SC25027_7_311	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	618	6.428105272684596	3444.036	8.14469	1.3804737	6.206692
SC25027_7_313	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1108	7.011213987350367	5756.2783	8.65822	10.151134	-0.04583852
SC25027_7_314	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1282	7.1569563646156364	6346.2314	8.755774	7.035171	2.2499971
SC25027_7_315	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	898	6.80128303447162	4307.533	8.368353	5.786187	-7.1481347
SC25027_7_316	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2379	7.77485576666552	10842.346	9.2913065	9.496738	10.421176
SC25027_7_317	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2098	7.649216319820633	9172.958	9.124125	9.015514	9.946965
SC25027_7_318	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1698	7.4377951216719325	8461.658	9.043419	2.9409282	1.2628112
SC25027_7_319	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	448	6.1070228877422545	2430.1008	7.7960997	0.23104957	7.823784
SC25027_7_31	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	811	6.699500340161678	4899.7075	8.497135	-1.5975538	9.883579
SC25027_7_320	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2282	7.733245646529795	10560.299	9.264952	9.408986	10.232888
SC25027_7_321	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2258	7.7226775164680035	11087.059	9.313624	10.300032	11.165617
SC25027_7_322	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	180	5.198497031265826	360.42	5.890041	3.635756	6.693094
SC25027_7_323	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1704	7.4413203897176174	8496.02	9.047471	8.32162	1.3651108
SC25027_7_324	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1971	7.586803535162581	10293.326	9.239348	-1.1625019	2.4239192
SC25027_7_325	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	864	6.762729506931879	4792.108	8.474935	8.213163	2.2346902
SC25027_7_326	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	872	6.771935555839602	4842.6206	8.485417	7.8480034	1.9788282
SC25027_7_327	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	991	6.899723107284872	4922.284	8.501731	7.497901	2.060911
SC25027_7_328	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	331	5.805134968916488	2463.2314	7.809635	7.569236	0.33577088
SC25027_7_329	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2258	7.7226775164680035	10437.936	9.253298	0.45567086	1.4957465
SC25027_7_32	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	903	6.806829360392176	4761.25	8.468475	1.2991073	-7.896401
SC25027_7_330	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1940	7.57095858316901	8495.051	9.047357	8.571493	9.64176
SC25027_7_331	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2252	7.720017940432244	10066.045	9.217023	10.16145	10.917969
SC25027_7_332	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1280	7.155396301896734	5447.52	8.603099	7.0359006	2.1114326
SC25027_7_333	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2169	7.682482446534506	8930.721	9.097364	8.98591	9.998639
SC25027_7_334	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1696	7.436617265234227	7693.8457	8.948306	0.00426126	2.95606
SC25027_7_335	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1244	7.126890808898808	6313.2876	8.75057	-1.5735934	10.073999
SC25027_7_337	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1107	7.010311867307229	6316.1055	8.751017	2.4377842	2.4059598
SC25027_7_338	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	805	6.692083742506628	4687.8457	8.452942	7.041267	-7.657983
SC25027_7_339	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	918	6.823286122355687	4929.0034	8.503095	8.413475	2.1129477
SC25027_7_33	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	565	6.338594078203183	3232.1326	8.081206	8.635431	-0.019420395
SC25027_7_340	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2049	7.6255950721324535	10363.293	9.246121	10.205921	11.000612
SC25027_7_342	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1944	7.573017256052546	9632.713	9.173024	9.137778	9.909907
SC25027_7_343	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	949	6.856461984594587	5668.9766	8.6429405	0.41486093	3.633728
SC25027_7_344	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1067	6.97354301952014	6011.6904	8.701628	3.8266065	2.4321432
SC25027_7_346	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1587	7.370230641807081	8338.22	9.028725	8.463242	9.800132
SC25027_7_347	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1426	7.2633296174768365	8208.401	9.013035	-0.36038232	3.377259
SC25027_7_348	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1246	7.1284959456800365	7271.521	8.891858	2.5794606	2.0884607
SC25027_7_349	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	833	6.726233402358747	5323.6084	8.580094	7.4720035	8.8181505
SC25027_7_34	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1289	7.162397497355718	6785.1646	8.822641	0.7696845	2.7258925
SC25027_7_350	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	598	6.395261598115449	3962.227	8.284814	6.712838	1.3174521
SC25027_7_351	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	387	5.961005339623274	2702.036	7.9021306	9.980282	-4.865465
SC25027_7_353	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	721	6.582025138892826	4114.044	8.322405	5.3537245	-7.496733
SC25027_7_354	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	567	6.342121418721152	3694.4263	8.214851	7.49951	-7.547525
SC25027_7_355	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1110	7.01301578963963	5507.3145	8.614014	6.995514	2.2146158
SC25027_7_356	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	555	6.320768294250582	3047.3005	8.02234	10.203046	-3.07838
SC25027_7_357	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	875	6.775366090936392	4201.4697	8.343428	6.708575	1.2289804
SC25027_7_359	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1040	6.947937068614969	6032.334	8.705055	-1.0105293	9.68618
SC25027_7_35	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	396	5.983936280687191	2380.372	7.775432	1.3696431	6.265643
SC25027_7_360	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1792	7.491645473605133	10102.082	9.220595	-0.4718096	2.4109733
SC25027_7_361	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	952	6.859614903654202	5037.867	8.524937	1.2856745	-8.07796
SC25027_7_362	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	720	6.580639137284949	3885.241	8.265198	10.820526	-5.310226
SC25027_7_363	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	924	6.829793737512425	4834.477	8.483735	9.732101	0.24805808
SC25027_7_364	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2419	7.791522819150732	11949.906	9.388562	10.4585905	11.340848
SC25027_7_365	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2277	7.731053144007127	10939.607	9.300237	10.379593	11.168595
SC25027_7_366	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	617	6.42648845745769	3183.4648	8.066039	1.8886232	5.6451597
SC25027_7_368	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2340	7.75833346749091	10468.112	9.256185	9.309169	10.187915
SC25027_7_369	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	591	6.3835066348840055	3837.9705	8.252959	9.372228	-6.3923373
SC25027_7_36	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	938	6.844815479208263	5315.2744	8.578528	-1.2520914	9.925777
SC25027_7_371	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1613	7.3864708488298945	8733.59	9.075047	-2.097638	14.607655
SC25027_7_372	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1647	7.4073177104694174	9009.199	9.1061125	-2.2605414	14.502944
SC25027_7_373	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	917	6.822197390620491	5523.9736	8.617034	6.877739	1.657715
SC25027_7_374	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	622	6.434546518787453	3889.666	8.2663355	7.9322953	0.79246336
SC25027_7_375	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	842	6.736966958001855	4581.493	8.429998	11.294254	-2.6796122
SC25027_7_376	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	712	6.569481420414296	4481.7056	8.407982	7.752851	1.1333169
SC25027_7_377	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	577	6.359573868672378	2053.3938	7.627736	2.4797368	5.2735486
SC25027_7_378	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	390	5.968707559985366	2412.3179	7.788758	1.5793573	4.952789
SC25027_7_379	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2292	7.737616282857904	9920.693	9.202479	9.320325	10.23164
SC25027_7_37	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	158	5.0689042022202315	848.9873	6.7452216	2.9940896	6.4055667
SC25027_7_380	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	2733	7.913521017283895	11835.249	9.378922	9.742234	10.875231
SC25027_7_382	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	366	5.905361848054571	2781.9207	7.9312563	1.8388342	4.933192
SC25027_7_38	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	537	6.2878585601617845	3067.227	8.028855	8.477322	0.063366264
SC25027_7_39	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1285	7.1592919047975645	6695.2773	8.809307	1.4536569	2.7775075
SC25027_7_3	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1038	6.946013991099227	5540.382	8.619999	7.726711	8.254112
SC25027_7_40	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1726	7.454141078146678	8542.539	9.052931	8.80147	8.889973
SC25027_7_41	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	486	6.18826412308259	2623.1484	7.872512	10.066973	-3.9077394
SC25027_7_42	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	471	6.156978985585555	2695.144	7.899578	9.717208	-1.7820836
SC25027_7_43	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1294	7.166265974133638	6663.6973	8.80458	8.254279	8.531969
SC25027_7_44	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	621	6.432940092739179	3199.9924	8.071217	10.398885	-3.2567484
SC25027_7_45	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	710	6.566672429803241	3541.1895	8.172501	9.772069	-5.569561
SC25027_7_46	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	792	6.675823221634848	4533.2573	8.419416	-1.1341332	9.39903
SC25027_7_47	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	674	6.51471269087253	3627.9	8.196685	6.4369454	1.1832291
SC25027_7_48	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	512	6.240275845170769	2919.801	7.9796133	7.6188426	0.4378577
SC25027_7_49	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	500	6.2166061010848646	2974.9912	7.9983325	1.4313884	4.7367654
SC25027_7_50	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1522	7.328437352895162	8017.9766	8.989566	8.76137	8.7923765
SC25027_7_51	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	745	6.61472560020376	4235.1104	8.3514	7.303901	8.334238
SC25027_7_52	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	1404	7.247792581767846	7304.615	8.896399	8.425973	8.514908
SC25027_7_53	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	641	6.464588303689961	3458.519	8.148885	5.989315	1.4546916
SC25027_7_54	GCSKO-10_820	PBANKA_820	md5 PBANKA_0413400	589	6.380122536899765	3264.3237	8.091114	10.004614	-4.2560563
